Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV530781,8856945,10/23/2012 10:10,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,1114,11,28,11,1149614,26,1901481,2012,41.8855816,10/25/2012 0:41,-87.72604657,"(41.885581598748246, -87.72604656914372)"
HV532227,8858652,10/23/2012 10:00,001XX W WASHINGTON ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,122,1,42,6,1175486,32,1900854,2012,41.88331936,10/29/2012 0:37,-87.63105887,"(41.883319361669244, -87.63105887394579)"
HV531513,8858725,10/23/2012 10:00,055XX W OHIO ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,1523,15,37,7,1139375,25,1903385,2012,41.89099909,10/28/2012 0:39,-87.76360024,"(41.89099909436219, -87.76360024484005)"
HV530920,8857128,10/23/2012 10:00,044XX S DREXEL BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,TRUE,TRUE,221,2,4,26,1182893,39,1875958,2012,41.81483374,10/25/2012 0:41,-87.60463603,"(41.81483374128669, -87.60463603390131)"
HV531275,8857592,10/23/2012 10:00,069XX S MERRILL AVE,890,THEFT,FROM BUILDING,SCHOOL PUBLIC BUILDING,FALSE,FALSE,331,3,5,6,1191708,43,1859203,2012,41.76864725,10/26/2012 0:39,-87.57284565,"(41.76864724534782, -87.57284564580563)"
HV532834,8859154,10/23/2012 10:00,010XX W ARGYLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2024,20,46,14,1168524,3,1933629,2012,41.97340911,10/27/2012 0:38,-87.65567242,"(41.97340911082038, -87.65567242310215)"
HV532440,8858791,10/23/2012 10:00,008XX N RIDGEWAY AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1112,11,27,6,1151270,23,1905459,2012,41.89646532,10/30/2012 0:40,-87.71986093,"(41.89646532106742, -87.71986092754007)"
HV531122,8857606,10/23/2012 10:00,060XX S WESTERN AVE,820,THEFT,$500 AND UNDER,FACTORY/MANUFACTURING BUILDING,FALSE,FALSE,825,8,16,6,1161454,66,1864238,2012,41.78314453,10/26/2012 0:39,-87.68360213,"(41.78314452792852, -87.68360213385326)"
HV530767,8857001,10/23/2012 9:55,044XX W CONGRESS PKWY,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1131,11,24,08B,1146960,26,1897363,2012,41.87433245,10/26/2012 0:39,-87.73589794,"(41.87433245295263, -87.73589793605521)"
HV530784,8857019,10/23/2012 9:50,008XX E 103RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SCHOOL  PUBLIC  BUILDING,TRUE,FALSE,512,5,9,18,1183714,50,1836812,2012,41.7073941,10/28/2012 0:39,-87.6028439,"(41.707394097612436, -87.60284389723702)"
HV530761,8857087,10/23/2012 9:50,068XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,725,7,17,14,1165563,67,1859491,2012,41.77003195,10/29/2012 0:37,-87.66867167,"(41.770031951195676, -87.66867167164838)"
HV530730,8856909,10/23/2012 9:45,0000X W 95TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA GARAGE / OTHER PROPERTY,TRUE,FALSE,634,6,21,11,1177743,49,1841988,2012,41.72173465,10/26/2012 0:39,-87.62455359,"(41.72173465483593, -87.6245535938707)"
HV530723,8857000,10/23/2012 9:30,031XX W MADISON ST,460,BATTERY,SIMPLE,APARTMENT,TRUE,FALSE,1124,11,28,08B,1155448,27,1899809,2012,41.88087817,10/25/2012 0:41,-87.70466785,"(41.88087817490652, -87.70466784812476)"
HV530756,8857043,10/23/2012 9:30,057XX S MICHIGAN AVE,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,SCHOOL  PUBLIC  BUILDING,FALSE,FALSE,232,2,20,08B,1178101,40,1866822,2012,41.78987389,10/25/2012 0:41,-87.62249072,"(41.789873886358684, -87.62249072101662)"
HV531120,8857608,10/23/2012 9:30,017XX N CLARK ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1814,18,43,6,1174739,7,1911994,2012,41.91390484,10/26/2012 0:39,-87.63346818,"(41.913904841506465, -87.63346817502384)"
HV532634,8859047,10/23/2012 9:30,071XX S HALSTED ST,870,THEFT,POCKET-PICKING,STREET,FALSE,FALSE,733,7,6,6,1172159,68,1857606,2012,41.76471686,10/27/2012 0:38,-87.64454888,"(41.76471686053356, -87.64454887932116)"
HV531045,8857660,10/23/2012 9:30,064XX S WINCHESTER AVE,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,726,7,15,6,1164418,67,1862132,2012,41.77730341,10/26/2012 0:39,-87.67279442,"(41.77730341427556, -87.67279441697491)"
HV530753,8857320,10/23/2012 9:15,021XX E 71ST ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,333,3,5,6,1191476,43,1858232,2012,41.76598837,10/25/2012 0:41,-87.57372746,"(41.76598837129576, -87.5737274586386)"
HV532985,8859264,10/23/2012 9:15,054XX N ELSTON AVE,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1621,16,45,6,1140513,11,1935685,2012,41.97961275,10/27/2012 0:38,-87.75862568,"(41.97961275292848, -87.7586256751993)"
HV530732,8857191,10/23/2012 9:00,076XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,624,6,6,14,1181276,69,1854143,2012,41.75500883,10/26/2012 0:39,-87.61123936,"(41.75500882950739, -87.6112393642527)"
HV533079,8859319,10/23/2012 9:00,006XX W CHICAGO AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1822,18,27,6,1172178,8,1905661,2012,41.89658371,10/27/2012 0:38,-87.64306396,"(41.89658370665698, -87.64306396052531)"
HV531209,8857578,10/23/2012 9:00,015XX W HARRISON ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1211,12,2,6,1166030,28,1897499,2012,41.87432007,10/26/2012 0:39,-87.66587754,"(41.87432006604255, -87.66587754464754)"
HV530800,8857491,10/23/2012 9:00,012XX E 93RD ST,842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,FALSE,FALSE,413,4,8,6,1186399,47,1843531,2012,41.72576888,10/28/2012 0:39,-87.59279988,"(41.72576888048627, -87.59279987870424)"
HV530726,8856966,10/23/2012 9:00,082XX S RACINE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,613,6,21,08A,1169710,71,1850347,2012,41.74485067,10/26/2012 0:39,-87.6537353,"(41.744850666961405, -87.6537352984352)"
HV531036,8857658,10/23/2012 9:00,018XX W MARQUETTE RD,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,726,7,15,6,1165223,67,1860209,2012,41.77200944,10/26/2012 0:39,-87.66989767,"(41.77200944271807, -87.66989766938971)"
HV530690,8857036,10/23/2012 8:47,001XX W 110TH PL,460,BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,513,5,34,08B,1177358,49,1831720,2012,41.69356653,10/26/2012 0:39,-87.62627259,"(41.693566525108174, -87.62627258640082)"
HV530707,8856981,10/23/2012 8:45,005XX E 45TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,221,2,3,26,1180659,38,1875337,2012,41.81318136,10/25/2012 0:41,-87.61284966,"(41.813181359841366, -87.61284965682144)"
HV530994,8857339,10/23/2012 8:45,078XX S WABASH AVE,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,623,6,6,08A,1178111,69,1852971,2012,41.75186504,10/26/2012 0:39,-87.62287359,"(41.75186503804135, -87.62287358882436)"
HV530671,8856876,10/23/2012 8:44,016XX S BLUE ISLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1222,12,25,6,1167392,31,1891638,2012,41.85820782,10/25/2012 0:41,-87.66104544,"(41.85820782270368, -87.66104543532043)"
HV530698,8856896,10/23/2012 8:40,040XX W 56TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SCHOOL  PUBLIC  BUILDING,TRUE,FALSE,813,8,13,18,1150266,62,1867197,2012,41.79148915,10/28/2012 0:39,-87.72454462,"(41.79148914886192, -87.72454461563396)"
HV531675,8859419,10/23/2012 8:35,057XX N ASHLAND AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,2012,20,40,04B,1164674,77,1938292,2012,41.98628724,10/30/2012 0:40,-87.66969688,"(41.986287235710606, -87.66969688257788)"
HV534009,8860549,10/23/2012 8:35,096XX S MICHIGAN AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SCHOOL  PUBLIC  BUILDING,FALSE,FALSE,511,5,6,04A,1178815,49,1840807,2012,41.71846955,10/29/2012 0:37,-87.62066288,"(41.718469550837206, -87.62066287651064)"
HV530855,8857080,10/23/2012 8:21,079XX S BENNETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,414,4,8,14,1190202,46,1852901,2012,41.75139043,10/26/2012 0:39,-87.57856847,"(41.751390431075244, -87.57856846632004)"
HV531837,8858070,10/23/2012 8:15,081XX S WHIPPLE ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,835,8,18,5,1157425,70,1850314,2012,41.74501754,10/30/2012 0:40,-87.69875048,"(41.7450175397514, -87.6987504839586)"
HV530633,8856788,10/23/2012 8:10,045XX W WASHINGTON BLVD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1113,11,28,16,1146223,26,1900073,2012,41.88178306,10/28/2012 0:39,-87.73853494,"(41.881783059464865, -87.73853494178879)"
HV530728,8857094,10/23/2012 8:00,068XX S STEWART AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SCHOOL  PUBLIC  BUILDING,FALSE,FALSE,722,7,6,24,1174651,68,1859822,2012,41.7707427,10/26/2012 0:39,-87.63534914,"(41.77074269889733, -87.63534913673642)"
HV530640,8857075,10/23/2012 8:00,008XX W 19TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1233,12,25,7,1171039,31,1891166,2012,41.85683348,10/26/2012 0:39,-87.64767258,"(41.85683347585977, -87.64767257517995)"
HV532158,8858473,10/23/2012 8:00,054XX S EVERETT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,234,2,5,26,1188927,41,1869317,2012,41.79646786,10/28/2012 0:39,-87.5827156,"(41.796467860703345, -87.58271560182278)"
HV530622,8856793,10/23/2012 7:50,047XX W JACKSON BLVD,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,TRUE,FALSE,1131,11,24,16,1144723,25,1898228,2012,41.87674855,10/28/2012 0:39,-87.74408948,"(41.87674855245807, -87.7440894836544)"
HV530746,8856939,10/23/2012 7:50,0000X E 95TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,TRUE,FALSE,634,6,6,24,1178027,49,1842023,2012,41.72182428,10/26/2012 0:39,-87.6235123,"(41.721824278307615, -87.6235122998485)"
HV530617,8856897,10/23/2012 7:45,069XX S HARVARD AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,TRUE,TRUE,731,7,6,04B,1175189,69,1859130,2012,41.76883177,10/25/2012 0:41,-87.63339769,"(41.76883177416414, -87.63339768651694)"
HV530611,8857570,10/23/2012 7:35,115XX S INDIANA AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,532,5,9,08A,1179592,53,1828699,2012,41.68522586,10/29/2012 0:37,-87.61818528,"(41.68522585532845, -87.61818527726538)"
HV533646,8860153,10/23/2012 7:30,034XX W ADDISON ST,820,THEFT,$500 AND UNDER,,FALSE,FALSE,1732,17,35,6,1152671,21,1923679,2012,41.94643496,10/27/2012 0:38,-87.71423216,"(41.94643495614786, -87.71423215641477)"
HV530594,8856731,10/23/2012 7:30,0000X W JACKSON BLVD,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,TRUE,FALSE,113,1,2,26,1175996,32,1898940,2012,41.87805577,10/25/2012 0:41,-87.6292438,"(41.87805576717736, -87.62924380186527)"
HV530631,8856781,10/23/2012 7:25,002XX S KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1113,11,28,16,1146386,26,1898600,2012,41.87773787,10/28/2012 0:39,-87.73797392,"(41.87773787274335, -87.73797392436445)"
HV531729,8858045,10/23/2012 7:15,069XX N CLARK ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2424,24,49,08B,1163528,1,1945905,2012,42.00720181,10/26/2012 0:39,-87.67369614,"(42.00720180792407, -87.6736961351224)"
HV530605,8857076,10/23/2012 7:00,062XX S DREXEL AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,313,3,20,6,1183115,42,1863988,2012,41.78198191,10/25/2012 0:41,-87.60419416,"(41.781981908400496, -87.60419415534632)"
HV530869,8857095,10/23/2012 7:00,048XX S WOOD ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,931,9,20,6,1165121,61,1872705,2012,41.80630219,10/25/2012 0:41,-87.66991811,"(41.80630218970512, -87.66991811132253)"
HV537224,8863394,10/23/2012 7:00,029XX E 78TH PL,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,421,4,7,6,1197368,43,1853547,2012,41.7529876,10/30/2012 0:40,-87.55228761,"(41.75298759743306, -87.55228761054308)"
HV531848,8858029,10/23/2012 7:00,059XX S FAIRFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,824,8,16,14,1159101,66,1865075,2012,41.78548984,10/26/2012 0:39,-87.69220617,"(41.785489839434476, -87.69220617157687)"
HV531657,8858006,10/23/2012 7:00,047XX S ASHLAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,931,9,20,7,1166424,61,1873486,2012,41.80841764,10/26/2012 0:39,-87.66511689,"(41.8084176434314, -87.66511688999881)"
HV530983,8857306,10/23/2012 7:00,071XX S WENTWORTH AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,731,7,6,6,1176152,69,1857759,2012,41.76504804,10/26/2012 0:39,-87.62990892,"(41.76504803609485, -87.62990891857656)"
HV534310,8860721,10/23/2012 7:00,051XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,FALSE,FALSE,1623,16,45,11,1138473,11,1933670,2012,41.97412074,10/28/2012 0:39,-87.76617714,"(41.97412073539601, -87.76617713978514)"
HV530585,8856709,10/23/2012 6:55,004XX S HALSTED ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1213,12,2,08A,1171149,28,1898387,2012,41.87664603,10/25/2012 0:41,-87.64705693,"(41.876646030575024, -87.64705692833525)"
HV530592,8856708,10/23/2012 6:40,034XX N HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,TRUE,FALSE,1925,19,44,14,1170344,6,1923425,2012,41.94536931,10/25/2012 0:41,-87.64927943,"(41.945369310310284, -87.64927943225739)"
HV532263,8858660,10/23/2012 6:30,020XX W GRENSHAW ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,FALSE,FALSE,1224,12,2,26,1163191,28,1895188,2012,41.86803858,10/27/2012 0:38,-87.676366,"(41.868038583142386, -87.67636599565287)"
HV532476,8858931,10/23/2012 6:30,085XX S MARYLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,632,6,8,14,1183345,44,1848475,2012,41.73940733,10/27/2012 0:38,-87.60383324,"(41.739407329554176, -87.60383323753071)"
HV530567,8856786,10/23/2012 6:25,0000X W 79TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA PLATFORM,TRUE,TRUE,623,6,6,08B,1177484,44,1852588,2012,41.75082823,10/26/2012 0:39,-87.62518279,"(41.750828225709334, -87.62518279418968)"
HV530560,8856817,10/23/2012 6:05,023XX W LAWRENCE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,FALSE,FALSE,2031,20,47,11,1159508,4,1931852,2012,41.96872385,10/25/2012 0:41,-87.68887551,"(41.96872385441052, -87.68887551025385)"
HV533390,8859584,10/23/2012 6:00,100XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2232,22,34,14,1171712,73,1838276,2012,41.71168252,10/27/2012 0:38,-87.64675248,"(41.71168251738329, -87.64675248268416)"
HV531008,8857410,10/23/2012 5:30,041XX S MONTGOMERY AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,921,9,12,6,1159195,58,1877299,2012,41.81903217,10/25/2012 0:41,-87.69152686,"(41.819032169415955, -87.69152686243743)"
HV531018,8857379,10/23/2012 5:30,002XX S WACKER DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,122,1,2,6,1174011,32,1899114,2012,41.87857769,10/25/2012 0:41,-87.63652699,"(41.87857768811221, -87.63652699349778)"
HV530558,8856671,10/23/2012 5:20,068XX S BELL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,832,8,17,26,1162543,66,1859075,2012,41.7689539,10/28/2012 0:39,-87.67975335,"(41.76895389948943, -87.6797533495395)"
HV531376,8857745,10/23/2012 5:15,012XX E 79TH ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,411,4,8,08A,1185616,45,1852900,2012,41.75149685,10/28/2012 0:39,-87.59537373,"(41.75149685467313, -87.59537373323468)"
HV530550,8857964,10/23/2012 5:15,008XX S CANAL ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,124,1,2,08A,1173234,28,1896304,2012,41.87088414,10/26/2012 0:39,-87.63946336,"(41.87088413578461, -87.6394633600512)"
HV530552,8856669,10/23/2012 5:15,054XX S ELLIS AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,233,2,5,08B,1183903,41,1869755,2012,41.79778867,10/25/2012 0:41,-87.60112511,"(41.79778867194091, -87.60112510863101)"
HV530738,8856969,10/23/2012 5:15,081XX S CARPENTER ST,810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,613,6,21,6,1170777,71,1850619,2012,41.74557388,10/26/2012 0:39,-87.64981774,"(41.74557388056259, -87.64981774340616)"
HV530566,8856698,10/23/2012 5:00,023XX W LOGAN BLVD,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1432,14,1,6,1160430,22,1917838,2012,41.93024956,10/26/2012 0:39,-87.68587461,"(41.930249560228596, -87.68587461016092)"
HV530741,8857048,10/23/2012 5:00,116XX S CARPENTER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,524,5,34,14,1171373,53,1827673,2012,41.68259363,10/26/2012 0:39,-87.64830283,"(41.682593632802494, -87.64830282661428)"
HV530551,8856691,10/23/2012 4:58,039XX W ROOSEVELT RD,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,SIDEWALK,TRUE,FALSE,1011,10,24,13,1150114,29,1894375,2012,41.86607221,10/25/2012 0:41,-87.72439559,"(41.86607221073189, -87.72439559020401)"
HV532200,8858447,10/23/2012 4:30,031XX N GREENVIEW AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1933,19,32,7,1165718,6,1920946,2012,41.93866686,10/26/2012 0:39,-87.66635369,"(41.938666857925966, -87.6663536926535)"
HV530886,8857115,10/23/2012 4:21,054XX N NORTHWEST HWY,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1622,16,45,26,1136240,11,1935201,2012,41.97836221,10/25/2012 0:41,-87.7743519,"(41.97836220886565, -87.77435189562095)"
HV530534,8857127,10/23/2012 4:15,053XX W QUINCY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1522,15,29,14,1140866,25,1898444,2012,41.87741307,10/25/2012 0:41,-87.75824606,"(41.877413073932274, -87.75824606400991)"
HV530531,8859639,10/23/2012 3:45,010XX W BELMONT AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1924,19,44,08B,1168869,6,1921460,2012,41.94000944,10/27/2012 0:38,-87.65475812,"(41.94000943933787, -87.65475812053238)"
HV531257,8857591,10/23/2012 3:30,004XX N LOCKWOOD AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1523,15,28,6,1140920,25,1902409,2012,41.88829254,10/26/2012 0:39,-87.75795018,"(41.88829253997808, -87.75795017857843)"
HV530526,8856651,10/23/2012 3:20,045XX S HONORE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,924,9,20,08B,1164817,61,1874598,2012,41.81150324,10/25/2012 0:41,-87.67097957,"(41.811503235546645, -87.6709795699695)"
HV530525,8856656,10/23/2012 3:00,009XX W WINONA ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,2024,20,48,26,1169075,3,1934283,2012,41.97519173,10/25/2012 0:41,-87.6536272,"(41.97519172653975, -87.65362719687514)"
HV532293,8858935,10/23/2012 3:00,026XX W 40TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,921,9,12,7,1159307,58,1878104,2012,41.82123889,10/27/2012 0:38,-87.69109393,"(41.82123889111714, -87.69109392928503)"
HV536916,8863136,10/23/2012 3:00,035XX W 57TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,822,8,14,14,1153563,63,1866542,2012,41.78962703,10/30/2012 0:40,-87.71247238,"(41.789627028927484, -87.71247237912212)"
HV532435,8858751,10/23/2012 3:00,057XX N CHRISTIANA AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1711,17,39,6,1152959,13,1938235,2012,41.98637183,10/27/2012 0:38,-87.71278605,"(41.9863718279001, -87.71278604552649)"
HV530529,8856681,10/23/2012 3:00,002XX W 47TH ST,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,FALSE,FALSE,925,9,3,08B,1175483,37,1873856,2012,41.80923487,10/25/2012 0:41,-87.63187964,"(41.8092348724256, -87.63187963618435)"
HV530512,8856640,10/23/2012 2:49,0000X W 109TH ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,513,5,34,6,1177780,49,1832647,2012,41.69610083,10/25/2012 0:41,-87.62469963,"(41.69610083061097, -87.62469963378332)"
HV530516,8856621,10/23/2012 2:48,014XX N LINDER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2532,25,37,08B,1139454,25,1908968,2012,41.90631808,10/26/2012 0:39,-87.76317385,"(41.90631808108762, -87.76317384866856)"
HV532916,8859323,10/23/2012 2:35,065XX N TROY ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2412,24,50,6,1154114,2,1943175,2012,41.99990438,10/27/2012 0:38,-87.70840536,"(41.999904383292076, -87.70840536353296)"
HV530506,8856620,10/23/2012 2:30,027XX N HAMPDEN CT,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1935,19,43,08A,1172326,7,1918400,2012,41.93153689,10/26/2012 0:39,-87.64214332,"(41.93153688533151, -87.64214332362194)"
HV530508,8856625,10/23/2012 2:30,032XX W FOSTER AVE,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,STREET,FALSE,FALSE,1713,17,39,3,1154033,13,1934330,2012,41.97563488,10/29/2012 0:37,-87.70894057,"(41.97563487538405, -87.70894057044472)"
HV530514,8856634,10/23/2012 2:30,068XX S RIDGELAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,332,3,5,26,1189000,43,1860160,2012,41.77133861,10/28/2012 0:39,-87.58274104,"(41.77133860827771, -87.5827410377105)"
HV530511,8856650,10/23/2012 2:17,039XX W 21ST ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1014,10,24,18,1150237,29,1889803,2012,41.8535237,10/28/2012 0:39,-87.72406315,"(41.85352369873664, -87.7240631503253)"
HV530507,8856631,10/23/2012 2:15,020XX N SAYRE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2512,25,36,6,1129293,25,1913048,2012,41.9176934,10/25/2012 0:41,-87.8004067,"(41.91769340298533, -87.80040669636871)"
HV530504,8856614,10/23/2012 2:10,044XX S ARCHER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,TRUE,FALSE,821,8,14,14,1154881,58,1874808,2012,41.81228387,10/25/2012 0:41,-87.70741892,"(41.812283868206016, -87.7074189207499)"
HV530492,8856600,10/23/2012 1:50,001XX S FRANCISCO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,1124,11,2,14,1157042,27,1899072,2012,41.87882358,10/26/2012 0:39,-87.69883479,"(41.87882358482755, -87.69883478604572)"
HV530517,8856635,10/23/2012 1:44,041XX W GLADYS AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,TRUE,FALSE,1132,11,28,7,1149047,26,1898077,2012,41.87625163,10/25/2012 0:41,-87.72821686,"(41.87625163320366, -87.7282168583392)"
HV530486,8856596,10/23/2012 1:30,059XX W GRAND AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,FALSE,FALSE,2515,25,37,04B,1136346,19,1914102,2012,41.92046251,10/30/2012 0:40,-87.77446802,"(41.92046250909582, -87.77446802154027)"
HV530668,8856806,10/23/2012 1:30,107XX S NORMAL AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2233,22,34,6,1174825,49,1833639,2012,41.69888923,10/25/2012 0:41,-87.63548952,"(41.69888923275345, -87.63548951974444)"
HV530490,8856584,10/23/2012 1:30,011XX N STATE ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1824,18,42,16,1176134,8,1907810,2012,41.90239241,10/28/2012 0:39,-87.62846957,"(41.902392409335356, -87.62846956762604)"
HV530650,8857213,10/23/2012 1:30,008XX S KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1134,11,24,14,1155205,27,1896006,2012,41.87044723,10/26/2012 0:39,-87.70566225,"(41.87044723258364, -87.70566224995862)"
HV530493,8856585,10/23/2012 1:29,017XX N SPAULDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1422,14,26,18,1153916,23,1911236,2012,41.91226561,10/28/2012 0:39,-87.70998841,"(41.91226560869724, -87.70998841324231)"
