Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV527420,8853932,10/20/2012 20:00,027XX S LOWE AVE,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,914,9,11,08B,1172368,60,1886523,2012,41.84406348,10/26/2012 0:39,-87.64293147,"(41.84406348434995, -87.64293147043078)"
HV527748,8854142,10/20/2012 20:00,030XX N AVERS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2523,25,30,7,1150635,21,1920114,2012,41.93669242,10/30/2012 0:40,-87.72180939,"(41.93669242236992, -87.72180938557928)"
HV527514,8853918,10/20/2012 20:00,024XX E 74TH PL,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,334,3,7,6,1193980,43,1856063,2012,41.75997543,10/25/2012 0:41,-87.56462066,"(41.759975425917766, -87.56462065509844)"
HV527413,8853837,10/20/2012 19:56,045XX S FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,922,9,14,08B,1157756,58,1874393,2012,41.81108711,10/26/2012 0:39,-87.69688464,"(41.811087108980644, -87.69688464415016)"
HV527397,8853836,10/20/2012 19:50,062XX S RHODES AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,313,3,20,18,1181016,42,1863645,2012,41.78108927,10/24/2012 0:39,-87.61190011,"(41.78108926777917, -87.6119001050329)"
HV527399,8853926,10/20/2012 19:50,014XX W GARFIELD BLVD,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,713,7,16,08B,1167662,67,1868097,2012,41.79360311,10/26/2012 0:39,-87.66073086,"(41.793603108350304, -87.66073085807257)"
HV527425,8853879,10/20/2012 19:48,013XX S SPRINGFIELD AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,TRUE,FALSE,1011,10,24,19,1150559,29,1893251,2012,41.86297915,10/24/2012 0:39,-87.72279129,"(41.862979149571565, -87.72279129319645)"
HV527400,8853860,10/20/2012 19:45,011XX S KARLOV AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1132,11,24,5,1149259,29,1894869,2012,41.8674444,10/29/2012 0:37,-87.72752159,"(41.8674444048042, -87.72752159033494)"
HV527973,8854438,10/20/2012 19:45,012XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1811,18,32,14,1167480,7,1914134,2012,41.91993657,10/23/2012 0:45,-87.66007454,"(41.919936572199454, -87.66007453570482)"
HV527387,8853868,10/20/2012 19:42,027XX W CARMEN AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2031,20,40,6,1157027,4,1933718,2012,41.97389511,10/23/2012 0:45,-87.6979472,"(41.97389510510565, -87.69794719816896)"
HV527404,8853834,10/20/2012 19:40,003XX W 47TH ST,331,ROBBERY,ATTEMPT: AGGRAVATED,SIDEWALK,FALSE,FALSE,925,9,3,3,1174574,37,1873824,2012,41.80916737,10/28/2012 0:39,-87.63521461,"(41.80916737218191, -87.63521461489309)"
HV527389,8853828,10/20/2012 19:40,051XX S DAMEN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,932,9,16,18,1163861,61,1870201,2012,41.79945751,10/24/2012 0:39,-87.67460974,"(41.79945750642011, -87.67460974231466)"
HV527396,8853886,10/20/2012 19:35,007XX E 90TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,633,6,6,08B,1182767,44,1845503,2012,41.73126525,10/25/2012 13:01,-87.60604293,"(41.731265249329006, -87.60604292694167)"
HV527378,8853862,10/20/2012 19:35,040XX W MADISON ST,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,1115,11,28,6,1149221,26,1899660,2012,41.8805922,10/25/2012 0:41,-87.72753696,"(41.88059219593187, -87.72753695851698)"
